country;variable;percentile;year;value;age;pop
BY;egfcari999;p0p100;1990;5.92697576030692;999;i
BY;egfcari999;p0p100;1991;6.02862157190415;999;i
BY;egfcari999;p0p100;1992;4.59214371727211;999;i
BY;egfcari999;p0p100;1993;2.81625052769537;999;i
BY;egfcari999;p0p100;1994;2.01556958923453;999;i
BY;egfcari999;p0p100;1995;2.14871512494233;999;i
BY;egfcari999;p0p100;1996;2.62378794101334;999;i
BY;egfcari999;p0p100;1997;2.46093337398734;999;i
BY;egfcari999;p0p100;1998;3.93402275002018;999;i
BY;egfcari999;p0p100;1999;3.67682864276829;999;i
BY;egfcari999;p0p100;2000;3.4862435870668;999;i
BY;egfcari999;p0p100;2001;3.61568446947098;999;i
BY;egfcari999;p0p100;2002;3.85343313800721;999;i
BY;egfcari999;p0p100;2003;4.03423180443384;999;i
BY;egfcari999;p0p100;2004;4.54961670954181;999;i
BY;egfcari999;p0p100;2005;4.39067135003716;999;i
BY;egfcari999;p0p100;2006;5.08157067664299;999;i
BY;egfcari999;p0p100;2007;5.47923091204994;999;i
BY;egfcari999;p0p100;2008;6.14308356434949;999;i
BY;egfcari999;p0p100;2009;4.03606780550091;999;i
BY;egfcari999;p0p100;2010;4.58220190459866;999;i
BY;egfcari999;p0p100;2011;4.4579316636607;999;i
BY;egfcari999;p0p100;2012;4.52938829106418;999;i
BY;egfcari999;p0p100;2013;4.29641502761081;999;i
BY;egfcari999;p0p100;2014;5.353310513758;999;i
BY;egfcari999;p0p100;2015;5.53112327235765;999;i
BY;egfcari999;p0p100;2016;5.35379332420963;999;i
BY;egfcari999;p0p100;2017;5.3547066487759;999;i
BY;egfcari999;p0p100;2018;5.64491201692198;999;i
BY;egfcari999;p0p100;2019;5.70076685996048;999;i
BY;egfcari999;p0p100;2020;5.30171317976324;999;i
BY;egfghgi999;p0p100;1980;6.0989200064038;999;i
BY;egfghgi999;p0p100;1981;6.07606374038534;999;i
BY;egfghgi999;p0p100;1982;6.47404009858815;999;i
BY;egfghgi999;p0p100;1983;6.71986397376528;999;i
BY;egfghgi999;p0p100;1984;6.78404721941525;999;i
BY;egfghgi999;p0p100;1985;7.26227197851368;999;i
BY;egfghgi999;p0p100;1986;6.88171647283181;999;i
BY;egfghgi999;p0p100;1987;6.98677262708238;999;i
BY;egfghgi999;p0p100;1988;6.89584602304609;999;i
BY;egfghgi999;p0p100;1989;6.97379148969968;999;i
BY;egfghgi999;p0p100;1990;6.08668215613379;999;i
BY;egfghgi999;p0p100;1991;6.17679150087231;999;i
BY;egfghgi999;p0p100;1992;4.80641681864612;999;i
BY;egfghgi999;p0p100;1993;3.04919212283337;999;i
BY;egfghgi999;p0p100;1994;2.47309149857489;999;i
BY;egfghgi999;p0p100;1995;2.70188159686322;999;i
BY;egfghgi999;p0p100;1996;3.41221511006592;999;i
BY;egfghgi999;p0p100;1997;3.43669270677792;999;i
BY;egfghgi999;p0p100;1998;5.7353668258511;999;i
BY;egfghgi999;p0p100;1999;5.54336704573429;999;i
BY;egfghgi999;p0p100;2000;5.33132469706706;999;i
BY;egfghgi999;p0p100;2001;5.30830713962107;999;i
BY;egfghgi999;p0p100;2002;5.7178753233329;999;i
BY;egfghgi999;p0p100;2003;5.60892268019177;999;i
BY;egfghgi999;p0p100;2004;5.99377784038066;999;i
BY;egfghgi999;p0p100;2005;5.58367706395391;999;i
BY;egfghgi999;p0p100;2006;6.24803376540333;999;i
BY;egfghgi999;p0p100;2007;6.54552603623692;999;i
BY;egfghgi999;p0p100;2008;7.16866537716151;999;i
BY;egfghgi999;p0p100;2009;4.7062094050028;999;i
BY;egfghgi999;p0p100;2010;5.31590888764215;999;i
BY;egfghgi999;p0p100;2011;5.10471552088641;999;i
BY;egfghgi999;p0p100;2012;5.37944426470286;999;i
BY;egfghgi999;p0p100;2013;5.02975369123257;999;i
BY;egfghgi999;p0p100;2014;6.05440571941786;999;i
BY;egfghgi999;p0p100;2015;6.2274514015943;999;i
BY;egfghgi999;p0p100;2016;6.02779690471155;999;i
BY;egfghgi999;p0p100;2017;6.02882521018772;999;i
BY;egfghgi999;p0p100;2018;6.35556532021986;999;i
BY;egfghgi999;p0p100;2019;6.41845188112952;999;i
BY;egfghgi999;p0p100;2020;5.96916024945045;999;i
BY;egfghoi999;p0p100;1990;0.159706395826863;999;i
BY;egfghoi999;p0p100;1991;0.148169928968154;999;i
BY;egfghoi999;p0p100;1992;0.21427310137401;999;i
BY;egfghoi999;p0p100;1993;0.232941595137999;999;i
BY;egfghoi999;p0p100;1994;0.457521909340363;999;i
BY;egfghoi999;p0p100;1995;0.553166471920886;999;i
BY;egfghoi999;p0p100;1996;0.788427169052583;999;i
BY;egfghoi999;p0p100;1997;0.975759332790584;999;i
BY;egfghoi999;p0p100;1998;1.80134407583091;999;i
BY;egfghoi999;p0p100;1999;1.866538402966;999;i
BY;egfghoi999;p0p100;2000;1.84508111000025;999;i
BY;egfghoi999;p0p100;2001;1.69262267015009;999;i
BY;egfghoi999;p0p100;2002;1.86444218532568;999;i
BY;egfghoi999;p0p100;2003;1.57469087575792;999;i
BY;egfghoi999;p0p100;2004;1.44416113083885;999;i
BY;egfghoi999;p0p100;2005;1.19300571391675;999;i
BY;egfghoi999;p0p100;2006;1.16646308876035;999;i
BY;egfghoi999;p0p100;2007;1.06629512418698;999;i
BY;egfghoi999;p0p100;2008;1.02558181281202;999;i
BY;egfghoi999;p0p100;2009;0.670141599501888;999;i
BY;egfghoi999;p0p100;2010;0.733706983043493;999;i
BY;egfghoi999;p0p100;2011;0.646783857225716;999;i
BY;egfghoi999;p0p100;2012;0.850055973638675;999;i
BY;egfghoi999;p0p100;2013;0.733338663621759;999;i
BY;egfghoi999;p0p100;2014;0.701095205659859;999;i
BY;egfghoi999;p0p100;2015;0.69632812923665;999;i
BY;egfghoi999;p0p100;2016;0.674003580501921;999;i
BY;egfghoi999;p0p100;2017;0.674118561411821;999;i
BY;egfghoi999;p0p100;2018;0.710653303297883;999;i
BY;egfghoi999;p0p100;2019;0.717685021169039;999;i
BY;egfghoi999;p0p100;2020;0.667447069687207;999;i
BY;ehfcari999;p0p100;1990;25.9590386853011;999;i
BY;ehfcari999;p0p100;1991;30.0149692429031;999;i
BY;ehfcari999;p0p100;1992;13.4244869523279;999;i
BY;ehfcari999;p0p100;1993;15.7644189516451;999;i
BY;ehfcari999;p0p100;1994;12.0990326784745;999;i
BY;ehfcari999;p0p100;1995;16.3932445156306;999;i
BY;ehfcari999;p0p100;1996;26.9567754155126;999;i
BY;ehfcari999;p0p100;1997;24.4200768643944;999;i
BY;ehfcari999;p0p100;1998;41.297273190707;999;i
BY;ehfcari999;p0p100;1999;39.0652734229388;999;i
BY;ehfcari999;p0p100;2000;39.7478600876167;999;i
BY;ehfcari999;p0p100;2001;34.6048578490749;999;i
BY;ehfcari999;p0p100;2002;35.8342972409439;999;i
BY;ehfcari999;p0p100;2003;32.6940405339023;999;i
BY;ehfcari999;p0p100;2004;32.0488562618923;999;i
BY;ehfcari999;p0p100;2005;29.0580809669871;999;i
BY;ehfcari999;p0p100;2006;33.1787832900747;999;i
BY;ehfcari999;p0p100;2007;34.0110073536562;999;i
BY;ehfcari999;p0p100;2008;36.1688484521232;999;i
BY;ehfcari999;p0p100;2009;26.0233366645753;999;i
BY;ehfcari999;p0p100;2010;29.3672671887835;999;i
BY;ehfcari999;p0p100;2011;19.9252900268085;999;i
BY;ehfcari999;p0p100;2012;33.6437422857277;999;i
BY;ehfcari999;p0p100;2013;38.3995488771629;999;i
BY;ehfcari999;p0p100;2014;31.5520928492256;999;i
BY;ehfcari999;p0p100;2015;27.1421620808271;999;i
BY;ehfcari999;p0p100;2016;25.8097593577598;999;i
BY;ehfcari999;p0p100;2017;25.7555542462886;999;i
BY;ehfcari999;p0p100;2018;27.4345437580638;999;i
BY;ehfcari999;p0p100;2019;27.7060009802217;999;i
BY;ehfcari999;p0p100;2020;25.7665809116062;999;i
BY;ehfghdi999;p0p100;1990;11.4228191221291;999;i
BY;ehfghdi999;p0p100;1991;10.6469834368857;999;i
BY;ehfghdi999;p0p100;1992;9.76731566164909;999;i
BY;ehfghdi999;p0p100;1993;8.4142915800803;999;i
BY;ehfghdi999;p0p100;1994;6.87066311981419;999;i
BY;ehfghdi999;p0p100;1995;6.3206791831427;999;i
BY;ehfghdi999;p0p100;1996;6.41314479959279;999;i
BY;ehfghdi999;p0p100;1997;6.46886433465312;999;i
BY;ehfghdi999;p0p100;1998;6.32035062101685;999;i
BY;ehfghdi999;p0p100;1999;6.0572833589269;999;i
BY;ehfghdi999;p0p100;2000;6.04548055165163;999;i
BY;ehfghdi999;p0p100;2001;6.05545164525721;999;i
BY;ehfghdi999;p0p100;2002;6.06755072354031;999;i
BY;ehfghdi999;p0p100;2003;6.22257876659813;999;i
BY;ehfghdi999;p0p100;2004;6.618232552;999;i
BY;ehfghdi999;p0p100;2005;6.90801945594089;999;i
BY;ehfghdi999;p0p100;2006;7.21049501188;999;i
BY;ehfghdi999;p0p100;2007;7.526214807;999;i
BY;ehfghdi999;p0p100;2008;7.70191361841907;999;i
BY;ehfghdi999;p0p100;2009;7.88171410287374;999;i
BY;ehfghdi999;p0p100;2010;8.06571201355413;999;i
BY;ehfghdi999;p0p100;2011;8.254005339;999;i
BY;ehfghdi999;p0p100;2012;8.25480037475207;999;i
BY;ehfghdi999;p0p100;2013;8.25559548708294;999;i
BY;ehfghdi999;p0p100;2014;8.256390676;999;i
BY;ehfghdi999;p0p100;2015;7.673898924627;999;i
BY;ehfghdi999;p0p100;2016;7.89008528642275;999;i
BY;ehfghdi999;p0p100;2017;7.95003938634553;999;i
BY;ehfghdi999;p0p100;2018;8.0977688435687;999;i
BY;ehfghdi999;p0p100;2019;8.17789402645263;999;i
BY;ehfghdi999;p0p100;2020;7.60544144460095;999;i
BY;ehfghgi999;p0p100;1980;26.8004385764314;999;i
BY;ehfghgi999;p0p100;1981;27.1701786395668;999;i
BY;ehfghgi999;p0p100;1982;28.6086675207605;999;i
BY;ehfghgi999;p0p100;1983;29.5485611612074;999;i
BY;ehfghgi999;p0p100;1984;29.9170957981083;999;i
BY;ehfghgi999;p0p100;1985;31.2272866040855;999;i
BY;ehfghgi999;p0p100;1986;29.3295905988366;999;i
BY;ehfghgi999;p0p100;1987;30.286415591016;999;i
BY;ehfghgi999;p0p100;1988;31.6487068735961;999;i
BY;ehfghgi999;p0p100;1989;34.4353916951974;999;i
BY;ehfghgi999;p0p100;1990;36.4189788828817;999;i
BY;ehfghgi999;p0p100;1991;39.8331791349235;999;i
BY;ehfghgi999;p0p100;1992;22.1212071892241;999;i
BY;ehfghgi999;p0p100;1993;23.1827590032219;999;i
BY;ehfghgi999;p0p100;1994;17.0017705450092;999;i
BY;ehfghgi999;p0p100;1995;20.4441066295333;999;i
BY;ehfghgi999;p0p100;1996;30.2396589586777;999;i
BY;ehfghgi999;p0p100;1997;27.0514955533391;999;i
BY;ehfghgi999;p0p100;1998;40.650006187599;999;i
BY;ehfghgi999;p0p100;1999;37.7430733994184;999;i
BY;ehfghgi999;p0p100;2000;38.5017487859021;999;i
BY;ehfghgi999;p0p100;2001;33.9630105491033;999;i
BY;ehfghgi999;p0p100;2002;34.4893033601998;999;i
BY;ehfghgi999;p0p100;2003;32.8223243888616;999;i
BY;ehfghgi999;p0p100;2004;33.2310003388159;999;i
BY;ehfghgi999;p0p100;2005;31.5520275663821;999;i
BY;ehfghgi999;p0p100;2006;36.1476485370134;999;i
BY;ehfghgi999;p0p100;2007;37.8175957461908;999;i
BY;ehfghgi999;p0p100;2008;40.5256227490972;999;i
BY;ehfghgi999;p0p100;2009;31.6935952118162;999;i
BY;ehfghgi999;p0p100;2010;34.9230764474753;999;i
BY;ehfghgi999;p0p100;2011;25.9784731597034;999;i
BY;ehfghgi999;p0p100;2012;39.4893732772824;999;i
BY;ehfghgi999;p0p100;2013;44.6491408285715;999;i
BY;ehfghgi999;p0p100;2014;38.1092452741672;999;i
BY;ehfghgi999;p0p100;2015;33.2549852516421;999;i
BY;ehfghgi999;p0p100;2016;32.1888175819017;999;i
BY;ehfghgi999;p0p100;2017;32.1943087983302;999;i
BY;ehfghgi999;p0p100;2018;33.9391216984287;999;i
BY;ehfghgi999;p0p100;2019;34.2749399201561;999;i
BY;ehfghgi999;p0p100;2020;31.8756941257452;999;i
BY;ehfghni999;p0p100;1990;24.9961597607525;999;i
BY;ehfghni999;p0p100;1991;29.1861956980379;999;i
BY;ehfghni999;p0p100;1992;12.353891527575;999;i
BY;ehfghni999;p0p100;1993;14.7684674231416;999;i
BY;ehfghni999;p0p100;1994;10.1311074251951;999;i
BY;ehfghni999;p0p100;1995;14.1234274463906;999;i
BY;ehfghni999;p0p100;1996;23.826514159085;999;i
BY;ehfghni999;p0p100;1997;20.582631218686;999;i
BY;ehfghni999;p0p100;1998;34.3296555665822;999;i
BY;ehfghni999;p0p100;1999;31.6857900404915;999;i
BY;ehfghni999;p0p100;2000;32.4562682342505;999;i
BY;ehfghni999;p0p100;2001;27.9075589038461;999;i
BY;ehfghni999;p0p100;2002;28.4217526366595;999;i
BY;ehfghni999;p0p100;2003;26.5997456222634;999;i
BY;ehfghni999;p0p100;2004;26.6127677868159;999;i
BY;ehfghni999;p0p100;2005;24.6440081104412;999;i
BY;ehfghni999;p0p100;2006;28.9371535251334;999;i
BY;ehfghni999;p0p100;2007;30.2913809391909;999;i
BY;ehfghni999;p0p100;2008;32.8237091306781;999;i
BY;ehfghni999;p0p100;2009;23.8118811089425;999;i
BY;ehfghni999;p0p100;2010;26.8573644339212;999;i
BY;ehfghni999;p0p100;2011;17.7244678207034;999;i
BY;ehfghni999;p0p100;2012;31.2345729025303;999;i
BY;ehfghni999;p0p100;2013;36.3935453414885;999;i
BY;ehfghni999;p0p100;2014;29.8528545981672;999;i
BY;ehfghni999;p0p100;2015;25.5810863270151;999;i
BY;ehfghni999;p0p100;2016;24.2987322954789;999;i
BY;ehfghni999;p0p100;2017;24.2442694119846;999;i
BY;ehfghni999;p0p100;2018;25.84135285486;999;i
BY;ehfghni999;p0p100;2019;26.0970458937035;999;i
BY;ehfghni999;p0p100;2020;24.2702526811442;999;i
BY;ehfghoi999;p0p100;1990;-0.96287892454859;999;i
BY;ehfghoi999;p0p100;1991;-0.828773544865186;999;i
BY;ehfghoi999;p0p100;1992;-1.07059542475292;999;i
BY;ehfghoi999;p0p100;1993;-0.995951528503529;999;i
BY;ehfghoi999;p0p100;1994;-1.96792525327944;999;i
BY;ehfghoi999;p0p100;1995;-2.26981706924007;999;i
BY;ehfghoi999;p0p100;1996;-3.13026125642766;999;i
BY;ehfghoi999;p0p100;1997;-3.83744564570841;999;i
BY;ehfghoi999;p0p100;1998;-6.96761762412484;999;i
BY;ehfghoi999;p0p100;1999;-7.37948338244731;999;i
BY;ehfghoi999;p0p100;2000;-7.29159185336616;999;i
BY;ehfghoi999;p0p100;2001;-6.69729894522877;999;i
BY;ehfghoi999;p0p100;2002;-7.41254460428446;999;i
BY;ehfghoi999;p0p100;2003;-6.09429491163888;999;i
BY;ehfghoi999;p0p100;2004;-5.4360884750764;999;i
BY;ehfghoi999;p0p100;2005;-4.41407285654583;999;i
BY;ehfghoi999;p0p100;2006;-4.24162976494126;999;i
BY;ehfghoi999;p0p100;2007;-3.71962641446535;999;i
BY;ehfghoi999;p0p100;2008;-3.34513932144517;999;i
BY;ehfghoi999;p0p100;2009;-2.21145555563286;999;i
BY;ehfghoi999;p0p100;2010;-2.50990275486237;999;i
BY;ehfghoi999;p0p100;2011;-2.20082220610507;999;i
BY;ehfghoi999;p0p100;2012;-2.4091693831974;999;i
BY;ehfghoi999;p0p100;2013;-2.00600353567437;999;i
BY;ehfghoi999;p0p100;2014;-1.69923825105835;999;i
BY;ehfghoi999;p0p100;2015;-1.56107575381196;999;i
BY;ehfghoi999;p0p100;2016;-1.51102706228087;999;i
BY;ehfghoi999;p0p100;2017;-1.51128483430395;999;i
BY;ehfghoi999;p0p100;2018;-1.59319090320373;999;i
BY;ehfghoi999;p0p100;2019;-1.60895508651821;999;i
BY;ehfghoi999;p0p100;2020;-1.49632823046193;999;i
BY;eifcari999;p0p100;1990;12.1006783251543;999;i
BY;eifcari999;p0p100;1991;11.9735796412544;999;i
BY;eifcari999;p0p100;1992;11.8882703650079;999;i
BY;eifcari999;p0p100;1993;7.08922827049451;999;i
BY;eifcari999;p0p100;1994;5.26097893072267;999;i
BY;eifcari999;p0p100;1995;5.84308157522278;999;i
BY;eifcari999;p0p100;1996;7.13761075107476;999;i
BY;eifcari999;p0p100;1997;7.22336986112671;999;i
BY;eifcari999;p0p100;1998;12.1473851940184;999;i
BY;eifcari999;p0p100;1999;11.3351069927382;999;i
BY;eifcari999;p0p100;2000;9.98199726240024;999;i
BY;eifcari999;p0p100;2001;10.9834514680877;999;i
BY;eifcari999;p0p100;2002;11.7844825724134;999;i
BY;eifcari999;p0p100;2003;12.2612312382226;999;i
BY;eifcari999;p0p100;2004;13.7439359038619;999;i
BY;eifcari999;p0p100;2005;13.2348371923753;999;i
BY;eifcari999;p0p100;2006;14.6170862570779;999;i
BY;eifcari999;p0p100;2007;15.8267343979293;999;i
BY;eifcari999;p0p100;2008;18.0146434341734;999;i
BY;eifcari999;p0p100;2009;11.040596414712;999;i
BY;eifcari999;p0p100;2010;12.5256500310195;999;i
BY;eifcari999;p0p100;2011;12.0802974153575;999;i
BY;eifcari999;p0p100;2012;8.51759950577346;999;i
BY;eifcari999;p0p100;2013;7.34547820179805;999;i
BY;eifcari999;p0p100;2014;10.705966368819;999;i
BY;eifcari999;p0p100;2015;11.4124960123672;999;i
BY;eifcari999;p0p100;2016;11.0466069828772;999;i
BY;eifcari999;p0p100;2017;11.0484914668161;999;i
BY;eifcari999;p0p100;2018;11.6472789903715;999;i
BY;eifcari999;p0p100;2019;11.7625255943721;999;i
BY;eifcari999;p0p100;2020;10.9391488027661;999;i
BY;eifghgi999;p0p100;1980;14.4782767660271;999;i
BY;eifghgi999;p0p100;1981;14.3242412117485;999;i
BY;eifghgi999;p0p100;1982;15.1977174956256;999;i
BY;eifghgi999;p0p100;1983;15.7252348212299;999;i
BY;eifghgi999;p0p100;1984;15.8047571157146;999;i
BY;eifghgi999;p0p100;1985;16.8439941674329;999;i
BY;eifghgi999;p0p100;1986;15.8188263946172;999;i
BY;eifghgi999;p0p100;1987;15.9200626508677;999;i
BY;eifghgi999;p0p100;1988;15.6222116020344;999;i
BY;eifghgi999;p0p100;1989;15.5217425832926;999;i
BY;eifghgi999;p0p100;1990;12.7523713375725;999;i
BY;eifghgi999;p0p100;1991;12.5359647718716;999;i
BY;eifghgi999;p0p100;1992;12.5832966930328;999;i
BY;eifghgi999;p0p100;1993;7.74517990000794;999;i
BY;eifghgi999;p0p100;1994;6.54086966633673;999;i
BY;eifghgi999;p0p100;1995;7.31404509796016;999;i
BY;eifghgi999;p0p100;1996;9.14760941724943;999;i
BY;eifghgi999;p0p100;1997;9.68841551882352;999;i
BY;eifghgi999;p0p100;1998;16.6515953211358;999;i
BY;eifghgi999;p0p100;1999;16.1198769790219;999;i
BY;eifghgi999;p0p100;2000;14.6879459526257;999;i
BY;eifghgi999;p0p100;2001;15.3264880580782;999;i
BY;eifghgi999;p0p100;2002;16.5808398473187;999;i
BY;eifghgi999;p0p100;2003;16.2262704983738;999;i
BY;eifghgi999;p0p100;2004;17.317617999857;999;i
BY;eifghgi999;p0p100;2005;16.1314058693514;999;i
BY;eifghgi999;p0p100;2006;17.4158999241782;999;i
BY;eifghgi999;p0p100;2007;18.3028811562284;999;i
BY;eifghgi999;p0p100;2008;20.2638547959382;999;i
BY;eifghgi999;p0p100;2009;12.5336621658669;999;i
BY;eifghgi999;p0p100;2010;14.2370331662011;999;i
BY;eifghgi999;p0p100;2011;13.5753749714396;999;i
BY;eifghgi999;p0p100;2012;9.87889431277756;999;i
BY;eifghgi999;p0p100;2013;8.44449235885473;999;i
BY;eifghgi999;p0p100;2014;11.7075375195877;999;i
BY;eifghgi999;p0p100;2015;12.3920130151813;999;i
BY;eifghgi999;p0p100;2016;11.9947202923064;999;i
BY;eifghgi999;p0p100;2017;11.9967665186071;999;i
BY;eifghgi999;p0p100;2018;12.6469470555541;999;i
BY;eifghgi999;p0p100;2019;12.772085098554;999;i
BY;eifghgi999;p0p100;2020;11.8780391416552;999;i
BY;eifghoi999;p0p100;1990;0.651693012418278;999;i
BY;eifghoi999;p0p100;1991;0.562385130617256;999;i
BY;eifghoi999;p0p100;1992;0.695026328024969;999;i
BY;eifghoi999;p0p100;1993;0.655951629513437;999;i
BY;eifghoi999;p0p100;1994;1.27989073561405;999;i
BY;eifghoi999;p0p100;1995;1.47096352273738;999;i
BY;eifghoi999;p0p100;1996;2.00999866617466;999;i
BY;eifghoi999;p0p100;1997;2.46504565769681;999;i
BY;eifghoi999;p0p100;1998;4.50421012711739;999;i
BY;eifghoi999;p0p100;1999;4.78476998628368;999;i
BY;eifghoi999;p0p100;2000;4.7059486902255;999;i
BY;eifghoi999;p0p100;2001;4.34303658999048;999;i
BY;eifghoi999;p0p100;2002;4.79635727490533;999;i
BY;eifghoi999;p0p100;2003;3.96503926015117;999;i
BY;eifghoi999;p0p100;2004;3.57368209599516;999;i
BY;eifghoi999;p0p100;2005;2.8965686769761;999;i
BY;eifghoi999;p0p100;2006;2.79881366710028;999;i
BY;eifghoi999;p0p100;2007;2.47614675829911;999;i
BY;eifghoi999;p0p100;2008;2.2492113617648;999;i
BY;eifghoi999;p0p100;2009;1.4930657511549;999;i
BY;eifghoi999;p0p100;2010;1.71138313518156;999;i
BY;eifghoi999;p0p100;2011;1.49507755608214;999;i
BY;eifghoi999;p0p100;2012;1.3612948070041;999;i
BY;eifghoi999;p0p100;2013;1.09901415705669;999;i
BY;eifghoi999;p0p100;2014;1.00157115076872;999;i
BY;eifghoi999;p0p100;2015;0.979517002814042;999;i
BY;eifghoi999;p0p100;2016;0.948113309429157;999;i
BY;eifghoi999;p0p100;2017;0.948275051791006;999;i
BY;eifghoi999;p0p100;2018;0.999668065182625;999;i
BY;eifghoi999;p0p100;2019;1.00955950418185;999;i
BY;eifghoi999;p0p100;2020;0.938890338889122;999;i
BY;enfcari999;p0p100;1990;59.933748096;999;i
BY;enfcari999;p0p100;1991;63.111590256;999;i
BY;enfcari999;p0p100;1992;44.127010272;999;i
BY;enfcari999;p0p100;1993;37.21631056;999;i
BY;enfcari999;p0p100;1994;28.749927744;999;i
BY;enfcari999;p0p100;1995;33.595699648;999;i
BY;enfcari999;p0p100;1996;46.914614448;999;i
BY;enfcari999;p0p100;1997;44.562289808;999;i
BY;enfcari999;p0p100;1998;70.64074752;999;i
BY;enfcari999;p0p100;1999;66.659972736;999;i
BY;enfcari999;p0p100;2000;65.378844144;999;i
BY;enfcari999;p0p100;2001;61.349638608;999;i
BY;enfcari999;p0p100;2002;63.97935736;999;i
BY;enfcari999;p0p100;2003;61.709535008;999;i
BY;enfcari999;p0p100;2004;64.105937568;999;i
BY;enfcari999;p0p100;2005;60.31702448;999;i
BY;enfcari999;p0p100;2006;67.52664064;999;i
BY;enfcari999;p0p100;2007;70.679483328;999;i
BY;enfcari999;p0p100;2008;76.834768832;999;i
BY;enfcari999;p0p100;2009;54.450751632;999;i
BY;enfcari999;p0p100;2010;60.713337376;999;i
BY;enfcari999;p0p100;2011;50.684141312;999;i
BY;enfcari999;p0p100;2012;63.583491472;999;i
BY;enfcari999;p0p100;2013;66.3892984;999;i
BY;enfcari999;p0p100;2014;67.224422928;999;i
BY;enfcari999;p0p100;2015;63.461406992;999;i
BY;enfcari999;p0p100;2016;61.426809776;999;i
BY;enfcari999;p0p100;2017;61.437288816;999;i
BY;enfcari999;p0p100;2018;64.766963472;999;i
BY;enfcari999;p0p100;2019;65.4078146611708;999;i
BY;enfcari999;p0p100;2020;60.8292676348888;999;i
BY;enfghgi999;p0p100;1980;52.5204438451012;999;i
BY;enfghgi999;p0p100;1981;52.6652122779631;999;i
BY;enfghgi999;p0p100;1982;55.6948491281854;999;i
BY;enfghgi999;p0p100;1983;57.6008756060877;999;i
BY;enfghgi999;p0p100;1984;58.152048607068;999;i
BY;enfghgi999;p0p100;1985;61.3706930329604;999;i
BY;enfghgi999;p0p100;1986;57.7283380277117;999;i
BY;enfghgi999;p0p100;1987;58.952972892214;999;i
BY;enfghgi999;p0p100;1988;59.8282100757661;999;i
BY;enfghgi999;p0p100;1989;62.5414486026866;999;i
BY;enfghgi999;p0p100;1990;59.9712648486296;999;i
BY;enfghgi999;p0p100;1991;63.1545041404517;999;i
BY;enfghgi999;p0p100;1992;44.1519905624614;999;i
BY;enfghgi999;p0p100;1993;37.2512614908568;999;i
BY;enfghgi999;p0p100;1994;28.7989707027601;999;i
BY;enfghgi999;p0p100;1995;33.6457623988781;999;i
BY;enfghgi999;p0p100;1996;46.973627484697;999;i
BY;enfghgi999;p0p100;1997;44.6199181592171;999;i
BY;enfghgi999;p0p100;1998;70.7045082671088;999;i
BY;enfghgi999;p0p100;1999;66.7230363462094;999;i
BY;enfghgi999;p0p100;2000;65.4434921592429;999;i
BY;enfghgi999;p0p100;2001;61.4154311146034;999;i
BY;enfghgi999;p0p100;2002;64.0454313475844;999;i
BY;enfghgi999;p0p100;2003;61.7685025341738;999;i
BY;enfghgi999;p0p100;2004;64.1617745138171;999;i
BY;enfghgi999;p0p100;2005;60.3673263367783;999;i
BY;enfghgi999;p0p100;2006;67.5820269322798;999;i
BY;enfghgi999;p0p100;2007;70.7349683980604;999;i
BY;enfghgi999;p0p100;2008;76.89051970601;999;i
BY;enfghgi999;p0p100;2009;54.5092172724333;999;i
BY;enfghgi999;p0p100;2010;60.7711745861282;999;i
BY;enfghgi999;p0p100;2011;50.7304672569559;999;i
BY;enfghgi999;p0p100;2012;63.7550796050361;999;i
BY;enfghgi999;p0p100;2013;66.6017722881312;999;i
BY;enfghgi999;p0p100;2014;67.3693079911613;999;i
BY;enfghgi999;p0p100;2015;63.5974897219859;999;i
BY;enfghgi999;p0p100;2016;61.5585296411095;999;i
BY;enfghgi999;p0p100;2017;61.569031151717;999;i
BY;enfghgi999;p0p100;2018;64.9058457568393;999;i
BY;enfghgi999;p0p100;2019;65.5480711478041;999;i
BY;enfghgi999;p0p100;2020;60.9597061674578;999;i
BY;enfghoi999;p0p100;1990;0.0375167526296138;999;i
BY;enfghoi999;p0p100;1991;0.042913884451707;999;i
BY;enfghoi999;p0p100;1992;0.0249802904613929;999;i
BY;enfghoi999;p0p100;1993;0.034950930856823;999;i
BY;enfghoi999;p0p100;1994;0.0490429587601149;999;i
BY;enfghoi999;p0p100;1995;0.050062750878098;999;i
BY;enfghoi999;p0p100;1996;0.0590130366970314;999;i
BY;enfghoi999;p0p100;1997;0.0576283512171045;999;i
BY;enfghoi999;p0p100;1998;0.0637607471087875;999;i
BY;enfghoi999;p0p100;1999;0.0630636102094257;999;i
BY;enfghoi999;p0p100;2000;0.0646480152429376;999;i
BY;enfghoi999;p0p100;2001;0.065792506603394;999;i
BY;enfghoi999;p0p100;2002;0.0660739875844456;999;i
BY;enfghoi999;p0p100;2003;0.0589675261738023;999;i
BY;enfghoi999;p0p100;2004;0.0558369458170489;999;i
BY;enfghoi999;p0p100;2005;0.0503018567783187;999;i
BY;enfghoi999;p0p100;2006;0.0553862922797634;999;i
BY;enfghoi999;p0p100;2007;0.0554850700604135;999;i
BY;enfghoi999;p0p100;2008;0.0557508740099593;999;i
BY;enfghoi999;p0p100;2009;0.0584656404333046;999;i
BY;enfghoi999;p0p100;2010;0.0578372101282127;999;i
BY;enfghoi999;p0p100;2011;0.046325944955953;999;i
BY;enfghoi999;p0p100;2012;0.171588133036053;999;i
BY;enfghoi999;p0p100;2013;0.2124738881312;999;i
