country;variable;percentile;year;value;age;pop
AW;egfcari999;p0p100;1990;0.259376284545049;999;i
AW;egfcari999;p0p100;1991;0.238403799721654;999;i
AW;egfcari999;p0p100;1992;0.233853191298449;999;i
AW;egfcari999;p0p100;1993;0.235045085560409;999;i
AW;egfcari999;p0p100;1994;0.230960000524899;999;i
AW;egfcari999;p0p100;1995;0.22611905706827;999;i
AW;egfcari999;p0p100;1996;0.226862215456304;999;i
AW;egfcari999;p0p100;1997;0.242397801468767;999;i
AW;egfcari999;p0p100;1998;0.2281082248129;999;i
AW;egfcari999;p0p100;1999;0.229893261697939;999;i
AW;egfcari999;p0p100;2000;0.214226345778444;999;i
AW;egfcari999;p0p100;2001;0.242523940272611;999;i
AW;egfcari999;p0p100;2002;0.248436795776324;999;i
AW;egfcari999;p0p100;2003;0.257688676820634;999;i
AW;egfcari999;p0p100;2004;0.253193518129077;999;i
AW;egfcari999;p0p100;2005;0.252289296299514;999;i
AW;egfcari999;p0p100;2006;0.24355222781681;999;i
AW;egfcari999;p0p100;2007;0.237723488219401;999;i
AW;egfcari999;p0p100;2008;0.235965910525948;999;i
AW;egfcari999;p0p100;2009;0.250449113973445;999;i
AW;egfcari999;p0p100;2010;0.2478404727134;999;i
AW;egfcari999;p0p100;2011;0.243552261691527;999;i
AW;egfcari999;p0p100;2012;0.23280975936026;999;i
AW;egfcari999;p0p100;2013;0.225579647897499;999;i
AW;egfcari999;p0p100;2014;0.21683109269216;999;i
AW;egfcari999;p0p100;2015;0.219343897125962;999;i
AW;egfcari999;p0p100;2016;0.219324620963865;999;i
AW;egfcari999;p0p100;2017;0.219305344801767;999;i
AW;egfcari999;p0p100;2018;0.21928606863967;999;i
AW;egfcari999;p0p100;2019;0.219266792477573;999;i
AW;egfcari999;p0p100;2020;0.208303452853695;999;i
AW;egfghgi999;p0p100;1980;0.284272073034418;999;i
AW;egfghgi999;p0p100;1981;0.281867546565135;999;i
AW;egfghgi999;p0p100;1982;0.29241592048927;999;i
AW;egfghgi999;p0p100;1983;0.284268728364332;999;i
AW;egfghgi999;p0p100;1984;0.290173269059104;999;i
AW;egfghgi999;p0p100;1985;0.295818720472626;999;i
AW;egfghgi999;p0p100;1986;0.269316764891515;999;i
AW;egfghgi999;p0p100;1987;0.276786851090383;999;i
AW;egfghgi999;p0p100;1988;0.272554614547912;999;i
AW;egfghgi999;p0p100;1989;0.269397840202348;999;i
AW;egfghgi999;p0p100;1990;0.296416923566511;999;i
AW;egfghgi999;p0p100;1991;0.272055937043869;999;i
AW;egfghgi999;p0p100;1992;0.266601475768183;999;i
AW;egfghgi999;p0p100;1993;0.268247244602636;999;i
AW;egfghgi999;p0p100;1994;0.265376549626956;999;i
AW;egfghgi999;p0p100;1995;0.260372130225855;999;i
AW;egfghgi999;p0p100;1996;0.261875457434595;999;i
AW;egfghgi999;p0p100;1997;0.279294871065464;999;i
AW;egfghgi999;p0p100;1998;0.264015257327186;999;i
AW;egfghgi999;p0p100;1999;0.26627458775525;999;i
AW;egfghgi999;p0p100;2000;0.249789809789841;999;i
AW;egfghgi999;p0p100;2001;0.281386163664489;999;i
AW;egfghgi999;p0p100;2002;0.287904550946498;999;i
AW;egfghgi999;p0p100;2003;0.29770109983543;999;i
AW;egfghgi999;p0p100;2004;0.292246030366529;999;i
AW;egfghgi999;p0p100;2005;0.291086831624035;999;i
AW;egfghgi999;p0p100;2006;0.280685335174686;999;i
AW;egfghgi999;p0p100;2007;0.273827531340355;999;i
AW;egfghgi999;p0p100;2008;0.271368606500261;999;i
AW;egfghgi999;p0p100;2009;0.287841738756295;999;i
AW;egfghgi999;p0p100;2010;0.285035928240507;999;i
AW;egfghgi999;p0p100;2011;0.280817627795921;999;i
AW;egfghgi999;p0p100;2012;0.26985630090753;999;i
AW;egfghgi999;p0p100;2013;0.263732915428885;999;i
AW;egfghgi999;p0p100;2014;0.252732310540532;999;i
AW;egfghgi999;p0p100;2015;0.254829350962308;999;i
AW;egfghgi999;p0p100;2016;0.254806956302869;999;i
AW;egfghgi999;p0p100;2017;0.254784561643429;999;i
AW;egfghgi999;p0p100;2018;0.25476216698399;999;i
AW;egfghgi999;p0p100;2019;0.254739772324551;999;i
AW;egfghgi999;p0p100;2020;0.242002783708323;999;i
AW;egfghoi999;p0p100;1990;0.0370406390214619;999;i
AW;egfghoi999;p0p100;1991;0.0336521373222155;999;i
AW;egfghoi999;p0p100;1992;0.032748284469734;999;i
AW;egfghoi999;p0p100;1993;0.0332021590422269;999;i
AW;egfghoi999;p0p100;1994;0.0344165491020568;999;i
AW;egfghoi999;p0p100;1995;0.0342530731575854;999;i
AW;egfghoi999;p0p100;1996;0.0350132419782913;999;i
AW;egfghoi999;p0p100;1997;0.0368970695966974;999;i
AW;egfghoi999;p0p100;1998;0.0359070325142856;999;i
AW;egfghoi999;p0p100;1999;0.0363813260573112;999;i
AW;egfghoi999;p0p100;2000;0.0355634640113968;999;i
AW;egfghoi999;p0p100;2001;0.0388622233918779;999;i
AW;egfghoi999;p0p100;2002;0.039467755170174;999;i
AW;egfghoi999;p0p100;2003;0.0400124230147959;999;i
AW;egfghoi999;p0p100;2004;0.0390525122374515;999;i
AW;egfghoi999;p0p100;2005;0.038797535324521;999;i
AW;egfghoi999;p0p100;2006;0.0371331073578755;999;i
AW;egfghoi999;p0p100;2007;0.0361040431209545;999;i
AW;egfghoi999;p0p100;2008;0.0354026959743129;999;i
AW;egfghoi999;p0p100;2009;0.0373926247828504;999;i
AW;egfghoi999;p0p100;2010;0.0371954555271071;999;i
AW;egfghoi999;p0p100;2011;0.0372653661043935;999;i
AW;egfghoi999;p0p100;2012;0.0370465415472703;999;i
AW;egfghoi999;p0p100;2013;0.0381532675313861;999;i
AW;egfghoi999;p0p100;2014;0.0359012178483728;999;i
AW;egfghoi999;p0p100;2015;0.0354854538363467;999;i
AW;egfghoi999;p0p100;2016;0.0354823353390043;999;i
AW;egfghoi999;p0p100;2017;0.035479216841662;999;i
AW;egfghoi999;p0p100;2018;0.0354760983443197;999;i
AW;egfghoi999;p0p100;2019;0.0354729798469774;999;i
AW;egfghoi999;p0p100;2020;0.0336993308546285;999;i
AW;ehfghgi999;p0p100;1980;1.24789034504671;999;i
AW;ehfghgi999;p0p100;1981;1.2480560912341;999;i
AW;ehfghgi999;p0p100;1982;1.25234320838139;999;i
AW;ehfghgi999;p0p100;1983;1.19355954038508;999;i
AW;ehfghgi999;p0p100;1984;1.2773875846532;999;i
AW;ehfghgi999;p0p100;1985;1.277843431658;999;i
AW;ehfghgi999;p0p100;1986;1.0411813029062;999;i
AW;ehfghgi999;p0p100;1987;1.10058465286191;999;i
AW;ehfghgi999;p0p100;1988;1.12407280259144;999;i
AW;ehfghgi999;p0p100;1989;1.11628692653586;999;i
AW;ehfghgi999;p0p100;1990;1.18654643716195;999;i
AW;ehfghgi999;p0p100;1991;1.1965473702144;999;i
AW;ehfghgi999;p0p100;1992;1.17767559596913;999;i
AW;ehfghgi999;p0p100;1993;1.19288651621501;999;i
AW;ehfghgi999;p0p100;1994;1.17886172562701;999;i
AW;ehfghgi999;p0p100;1995;1.18563508387481;999;i
AW;ehfghgi999;p0p100;1996;1.21897469134726;999;i
AW;ehfghgi999;p0p100;1997;1.20053814537398;999;i
AW;ehfghgi999;p0p100;1998;1.21469863869876;999;i
AW;ehfghgi999;p0p100;1999;1.22195411289025;999;i
AW;ehfghgi999;p0p100;2000;1.29287317886059;999;i
AW;ehfghgi999;p0p100;2001;1.27545379408065;999;i
AW;ehfghgi999;p0p100;2002;1.27535348012502;999;i
AW;ehfghgi999;p0p100;2003;1.27019562062714;999;i
AW;ehfghgi999;p0p100;2004;1.26845041330048;999;i
AW;ehfghgi999;p0p100;2005;1.27100140531113;999;i
AW;ehfghgi999;p0p100;2006;1.26461455943844;999;i
AW;ehfghgi999;p0p100;2007;1.2763165755976;999;i
AW;ehfghgi999;p0p100;2008;1.2650820060848;999;i
AW;ehfghgi999;p0p100;2009;1.26088474499066;999;i
AW;ehfghgi999;p0p100;2010;1.2561321705835;999;i
AW;ehfghgi999;p0p100;2011;1.22792144962652;999;i
AW;ehfghgi999;p0p100;2012;1.15192936533116;999;i
AW;ehfghgi999;p0p100;2013;1.11131648529108;999;i
AW;ehfghgi999;p0p100;2014;1.10576870336785;999;i
AW;ehfghgi999;p0p100;2015;1.12657603237547;999;i
AW;ehfghgi999;p0p100;2016;1.12647702774166;999;i
AW;ehfghgi999;p0p100;2017;1.12637802310784;999;i
AW;ehfghgi999;p0p100;2018;1.12627901847402;999;i
AW;ehfghgi999;p0p100;2019;1.12618001384021;999;i
AW;ehfghgi999;p0p100;2020;1.0698710131482;999;i
AW;ehfghoi999;p0p100;1990;0.146969451900523;999;i
AW;ehfghoi999;p0p100;1991;0.144212119733842;999;i
AW;ehfghoi999;p0p100;1992;0.139480876380593;999;i
AW;ehfghoi999;p0p100;1993;0.141169966644022;999;i
AW;ehfghoi999;p0p100;1994;0.134421221854783;999;i
AW;ehfghoi999;p0p100;1995;0.13256350661633;999;i
AW;ehfghoi999;p0p100;1996;0.136233786624285;999;i
AW;ehfghoi999;p0p100;1997;0.134498351733534;999;i
AW;ehfghoi999;p0p100;1998;0.13207224996466;999;i
AW;ehfghoi999;p0p100;1999;0.13134631890651;999;i
AW;ehfghoi999;p0p100;2000;0.146987838019561;999;i
AW;ehfghoi999;p0p100;2001;0.143895607599272;999;i
AW;ehfghoi999;p0p100;2002;0.143909341483102;999;i
AW;ehfghoi999;p0p100;2003;0.146026652812552;999;i
AW;ehfghoi999;p0p100;2004;0.146583067246857;999;i
AW;ehfghoi999;p0p100;2005;0.148483823914655;999;i
AW;ehfghoi999;p0p100;2006;0.149036809640016;999;i
AW;ehfghoi999;p0p100;2007;0.152365674621206;999;i
AW;ehfghoi999;p0p100;2008;0.15062674539268;999;i
AW;ehfghoi999;p0p100;2009;0.151228327807147;999;i
AW;ehfghoi999;p0p100;2010;0.149594787312219;999;i
AW;ehfghoi999;p0p100;2011;0.140417696799354;999;i
AW;ehfghoi999;p0p100;2012;0.128617839303723;999;i
AW;ehfghoi999;p0p100;2013;0.126827050909339;999;i
AW;ehfghoi999;p0p100;2014;0.12771285529264;999;i
AW;ehfghoi999;p0p100;2015;0.12909032447418;999;i
AW;ehfghoi999;p0p100;2016;0.129078979886743;999;i
AW;ehfghoi999;p0p100;2017;0.129067635299306;999;i
AW;ehfghoi999;p0p100;2018;0.129056290711869;999;i
AW;ehfghoi999;p0p100;2019;0.129044946124432;999;i
AW;ehfghoi999;p0p100;2020;0.12259269881821;999;i
AW;eifcari999;p0p100;1990;0.409937700807323;999;i
AW;eifcari999;p0p100;1991;0.403337245711695;999;i
AW;eifcari999;p0p100;1992;0.411357031953979;999;i
AW;eifcari999;p0p100;1993;0.399457839215649;999;i
AW;eifcari999;p0p100;1994;0.409593063303523;999;i
AW;eifcari999;p0p100;1995;0.407379745918649;999;i
AW;eifcari999;p0p100;1996;0.375992745210222;999;i
AW;eifcari999;p0p100;1997;0.38471029278491;999;i
AW;eifcari999;p0p100;1998;0.387287773150218;999;i
AW;eifcari999;p0p100;1999;0.376403696549345;999;i
AW;eifcari999;p0p100;2000;0.358929650144248;999;i
AW;eifcari999;p0p100;2001;0.339619353937368;999;i
AW;eifcari999;p0p100;2002;0.333542721651318;999;i
AW;eifcari999;p0p100;2003;0.328189154164211;999;i
AW;eifcari999;p0p100;2004;0.333476697094738;999;i
AW;eifcari999;p0p100;2005;0.33262615426185;999;i
AW;eifcari999;p0p100;2006;0.344692711338029;999;i
AW;eifcari999;p0p100;2007;0.341820256729586;999;i
AW;eifcari999;p0p100;2008;0.346411339518599;999;i
AW;eifcari999;p0p100;2009;0.342560756844433;999;i
AW;eifcari999;p0p100;2010;0.341081055486907;999;i
AW;eifcari999;p0p100;2011;0.353279388029584;999;i
AW;eifcari999;p0p100;2012;0.39631038213171;999;i
AW;eifcari999;p0p100;2013;0.416875760205337;999;i
AW;eifcari999;p0p100;2014;0.431158038827684;999;i
AW;eifcari999;p0p100;2015;0.408542810520821;999;i
AW;eifcari999;p0p100;2016;0.40850690736809;999;i
AW;eifcari999;p0p100;2017;0.408471004215358;999;i
AW;eifcari999;p0p100;2018;0.408435101062627;999;i
AW;eifcari999;p0p100;2019;0.408399197909896;999;i
AW;eifcari999;p0p100;2020;0.387979238014401;999;i
AW;eifghgi999;p0p100;1980;0.47164496530405;999;i
AW;eifghgi999;p0p100;1981;0.474866432371401;999;i
AW;eifghgi999;p0p100;1982;0.467977295944796;999;i
AW;eifghgi999;p0p100;1983;0.506686369456035;999;i
AW;eifghgi999;p0p100;1984;0.45166503408811;999;i
AW;eifghgi999;p0p100;1985;0.449288527122532;999;i
AW;eifghgi999;p0p100;1986;0.603480494719894;999;i
AW;eifghgi999;p0p100;1987;0.558334571314568;999;i
AW;eifghgi999;p0p100;1988;0.543330685424488;999;i
AW;eifghgi999;p0p100;1989;0.54814578401938;999;i
AW;eifghgi999;p0p100;1990;0.494933200690506;999;i
AW;eifghgi999;p0p100;1991;0.490445003908957;999;i
AW;eifghgi999;p0p100;1992;0.500967446451429;999;i
AW;eifghgi999;p0p100;1993;0.487500277346378;999;i
AW;eifghgi999;p0p100;1994;0.503593838497807;999;i
AW;eifghgi999;p0p100;1995;0.503885773548645;999;i
AW;eifghgi999;p0p100;1996;0.467422151971693;999;i
AW;eifghgi999;p0p100;1997;0.478251486707958;999;i
AW;eifghgi999;p0p100;1998;0.48620179423649;999;i
AW;eifghgi999;p0p100;1999;0.475577061246231;999;i
AW;eifghgi999;p0p100;2000;0.448929488856856;999;i
AW;eifghgi999;p0p100;2001;0.428121213863892;999;i
AW;eifghgi999;p0p100;2002;0.421674753940484;999;i
AW;eifghgi999;p0p100;2003;0.412695107346552;999;i
AW;eifghgi999;p0p100;2004;0.417569255318949;999;i
AW;eifghgi999;p0p100;2005;0.415057163328052;999;i
AW;eifghgi999;p0p100;2006;0.427774674094243;999;i
AW;eifghgi999;p0p100;2007;0.422862177269533;999;i
AW;eifghgi999;p0p100;2008;0.428163800396901;999;i
AW;eifghgi999;p0p100;2009;0.423131204432324;999;i
AW;eifghgi999;p0p100;2010;0.422362516498009;999;i
AW;eifghgi999;p0p100;2011;0.441551943127756;999;i
AW;eifghgi999;p0p100;2012;0.493010064167427;999;i
AW;eifghgi999;p0p100;2013;0.513505614909684;999;i
AW;eifghgi999;p0p100;2014;0.528185579911293;999;i
AW;eifghgi999;p0p100;2015;0.50330910011289;999;i
AW;eifghgi999;p0p100;2016;0.503264868803399;999;i
AW;eifghgi999;p0p100;2017;0.503220637493909;999;i
AW;eifghgi999;p0p100;2018;0.503176406184418;999;i
AW;eifghgi999;p0p100;2019;0.503132174874927;999;i
AW;eifghgi999;p0p100;2020;0.47797556613118;999;i
AW;eifghoi999;p0p100;1990;0.0849954998831833;999;i
AW;eifghoi999;p0p100;1991;0.0871077581972624;999;i
AW;eifghoi999;p0p100;1992;0.0896104144974503;999;i
AW;eifghoi999;p0p100;1993;0.0880424381307288;999;i
AW;eifghoi999;p0p100;1994;0.0940007751942841;999;i
AW;eifghoi999;p0p100;1995;0.0965060276299955;999;i
AW;eifghoi999;p0p100;1996;0.0914294067614702;999;i
AW;eifghoi999;p0p100;1997;0.0935411939230482;999;i
AW;eifghoi999;p0p100;1998;0.0989140210862726;999;i
AW;eifghoi999;p0p100;1999;0.0991733646968864;999;i
AW;eifghoi999;p0p100;2000;0.0899998387126081;999;i
AW;eifghoi999;p0p100;2001;0.088501859926524;999;i
AW;eifghoi999;p0p100;2002;0.0881320322891652;999;i
AW;eifghoi999;p0p100;2003;0.0845059531823415;999;i
AW;eifghoi999;p0p100;2004;0.0840925582242106;999;i
AW;eifghoi999;p0p100;2005;0.0824310090662017;999;i
AW;eifghoi999;p0p100;2006;0.0830819627562133;999;i
AW;eifghoi999;p0p100;2007;0.0810419205399469;999;i
AW;eifghoi999;p0p100;2008;0.0817524608783028;999;i
AW;eifghoi999;p0p100;2009;0.0805704475878906;999;i
AW;eifghoi999;p0p100;2010;0.0812814610111022;999;i
AW;eifghoi999;p0p100;2011;0.0882725550981719;999;i
AW;eifghoi999;p0p100;2012;0.0966996820357172;999;i
AW;eifghoi999;p0p100;2013;0.0966298547043464;999;i
AW;eifghoi999;p0p100;2014;0.0970275410836097;999;i
AW;eifghoi999;p0p100;2015;0.0947662895920692;999;i
AW;eifghoi999;p0p100;2016;0.0947579614353096;999;i
AW;eifghoi999;p0p100;2017;0.0947496332785501;999;i
AW;eifghoi999;p0p100;2018;0.0947413051217905;999;i
AW;eifghoi999;p0p100;2019;0.0947329769650309;999;i
AW;eifghoi999;p0p100;2020;0.0899963281167794;999;i
AW;enfcari999;p0p100;1990;1.80511902695903;999;i
AW;enfcari999;p0p100;1991;1.8049607390475;999;i
AW;enfcari999;p0p100;1992;1.80480245113598;999;i
AW;enfcari999;p0p100;1993;1.80464416322445;999;i
AW;enfcari999;p0p100;1994;1.80448587531292;999;i
AW;enfcari999;p0p100;1995;1.8043275874014;999;i
AW;enfcari999;p0p100;1996;1.80416929948987;999;i
AW;enfcari999;p0p100;1997;1.80401101157834;999;i
AW;enfcari999;p0p100;1998;1.80385272366681;999;i
AW;enfcari999;p0p100;1999;1.80369443575529;999;i
AW;enfcari999;p0p100;2000;1.80353614784376;999;i
AW;enfcari999;p0p100;2001;1.80337785993223;999;i
AW;enfcari999;p0p100;2002;1.80321957202071;999;i
AW;enfcari999;p0p100;2003;1.80306128410918;999;i
AW;enfcari999;p0p100;2004;1.80290299619765;999;i
AW;enfcari999;p0p100;2005;1.80274470828613;999;i
AW;enfcari999;p0p100;2006;1.8025864203746;999;i
AW;enfcari999;p0p100;2007;1.80242813246307;999;i
AW;enfcari999;p0p100;2008;1.80226984455155;999;i
AW;enfcari999;p0p100;2009;1.80211155664002;999;i
AW;enfcari999;p0p100;2010;1.80195326872849;999;i
AW;enfcari999;p0p100;2011;1.80179498081696;999;i
AW;enfcari999;p0p100;2012;1.80163669290544;999;i
AW;enfcari999;p0p100;2013;1.80147840499391;999;i
AW;enfcari999;p0p100;2014;1.80132011708238;999;i
AW;enfcari999;p0p100;2015;1.80116182917086;999;i
AW;enfcari999;p0p100;2016;1.80100354125933;999;i
AW;enfcari999;p0p100;2017;1.8008452533478;999;i
AW;enfcari999;p0p100;2018;1.80068696543628;999;i
AW;enfcari999;p0p100;2019;1.80052867752475;999;i
AW;enfcari999;p0p100;2020;1.71050224364851;999;i
AW;enfghgi999;p0p100;1980;2.1070902905561;999;i
AW;enfghgi999;p0p100;1981;2.10690568515973;999;i
AW;enfghgi999;p0p100;1982;2.10672107976337;999;i
AW;enfghgi999;p0p100;1983;2.106536474367;999;i
AW;enfghgi999;p0p100;1984;2.10635186897063;999;i
AW;enfghgi999;p0p100;1985;2.10616726357426;999;i
AW;enfghgi999;p0p100;1986;2.10598265817789;999;i
AW;enfghgi999;p0p100;1987;2.10579805278152;999;i
AW;enfghgi999;p0p100;1988;2.10561344738515;999;i
AW;enfghgi999;p0p100;1989;2.10542884198879;999;i
AW;enfghgi999;p0p100;1990;2.10524423659242;999;i
AW;enfghgi999;p0p100;1991;2.10505963119605;999;i
AW;enfghgi999;p0p100;1992;2.10487502579968;999;i
AW;enfghgi999;p0p100;1993;2.10469042040331;999;i
AW;enfghgi999;p0p100;1994;2.10450581500694;999;i
AW;enfghgi999;p0p100;1995;2.10432120961057;999;i
AW;enfghgi999;p0p100;1996;2.1041366042142;999;i
AW;enfghgi999;p0p100;1997;2.10395199881784;999;i
AW;enfghgi999;p0p100;1998;2.10376739342147;999;i
AW;enfghgi999;p0p100;1999;2.1035827880251;999;i
AW;enfghgi999;p0p100;2000;2.10339818262873;999;i
AW;enfghgi999;p0p100;2001;2.10321357723236;999;i
AW;enfghgi999;p0p100;2002;2.10302897183599;999;i
AW;enfghgi999;p0p100;2003;2.10284436643963;999;i
AW;enfghgi999;p0p100;2004;2.10265976104326;999;i
AW;enfghgi999;p0p100;2005;2.10247515564689;999;i
AW;enfghgi999;p0p100;2006;2.10229055025052;999;i
AW;enfghgi999;p0p100;2007;2.10210594485415;999;i
AW;enfghgi999;p0p100;2008;2.10192133945778;999;i
AW;enfghgi999;p0p100;2009;2.10173673406141;999;i
AW;enfghgi999;p0p100;2010;2.10155212866504;999;i
AW;enfghgi999;p0p100;2011;2.10136752326867;999;i
AW;enfghgi999;p0p100;2012;2.10118291787231;999;i
AW;enfghgi999;p0p100;2013;2.10099831247594;999;i
AW;enfghgi999;p0p100;2014;2.10081370707957;999;i
AW;enfghgi999;p0p100;2015;2.1006291016832;999;i
AW;enfghgi999;p0p100;2016;2.10044449628683;999;i
AW;enfghgi999;p0p100;2017;2.10025989089046;999;i
AW;enfghgi999;p0p100;2018;2.10007528549409;999;i
AW;enfghgi999;p0p100;2019;2.09989068009773;999;i
AW;enfghgi999;p0p100;2020;1.99489614609284;999;i
AW;enfghoi999;p0p100;1990;0.300125209633387;999;i
AW;enfghoi999;p0p100;1991;0.300098892148545;999;i
AW;enfghoi999;p0p100;1992;0.300072574663703;999;i
AW;enfghoi999;p0p100;1993;0.300046257178862;999;i
AW;enfghoi999;p0p100;1994;0.30001993969402;999;i
AW;enfghoi999;p0p100;1995;0.299993622209178;999;i
AW;enfghoi999;p0p100;1996;0.299967304724336;999;i
AW;enfghoi999;p0p100;1997;0.299940987239495;999;i
AW;enfghoi999;p0p100;1998;0.299914669754653;999;i
AW;enfghoi999;p0p100;1999;0.299888352269811;999;i
AW;enfghoi999;p0p100;2000;0.29986203478497;999;i
AW;enfghoi999;p0p100;2001;0.299835717300128;999;i
AW;enfghoi999;p0p100;2002;0.299809399815286;999;i
AW;enfghoi999;p0p100;2003;0.299783082330445;999;i
AW;enfghoi999;p0p100;2004;0.299756764845603;999;i
AW;enfghoi999;p0p100;2005;0.299730447360761;999;i
AW;enfghoi999;p0p100;2006;0.299704129875919;999;i
AW;enfghoi999;p0p100;2007;0.299677812391078;999;i
AW;enfghoi999;p0p100;2008;0.299651494906236;999;i
AW;enfghoi999;p0p100;2009;0.299625177421394;999;i
AW;enfghoi999;p0p100;2010;0.299598859936553;999;i
AW;enfghoi999;p0p100;2011;0.299572542451711;999;i
AW;enfghoi999;p0p100;2012;0.299546224966869;999;i
AW;enfghoi999;p0p100;2013;0.299519907482028;999;i
AW;enfghoi999;p0p100;2014;0.299493589997186;999;i
AW;enfghoi999;p0p100;2015;0.299467272512344;999;i
AW;enfghoi999;p0p100;2016;0.299440955027502;999;i
AW;enfghoi999;p0p100;2017;0.299414637542661;999;i
AW;enfghoi999;p0p100;2018;0.299388320057819;999;i
AW;enfghoi999;p0p100;2019;0.299362002572977;999;i
AW;enfghoi999;p0p100;2020;0.284393902444328;999;i
AW;enncari999;p0p100;1990;0.16511902695903;999;i
AW;enncari999;p0p100;1991;0.114960739047503;999;i
AW;enncari999;p0p100;1992;0.334802451135976;999;i
AW;enncari999;p0p100;1993;0.204644163224449;999;i
AW;enncari999;p0p100;1994;0.184485875312923;999;i
AW;enncari999;p0p100;1995;0.134327587401395;999;i
AW;enncari999;p0p100;1996;0.114169299489869;999;i
AW;enncari999;p0p100;1997;0.0540110115783417;999;i
AW;enncari999;p0p100;1998;0.0038527236668147;999;i
AW;enncari999;p0p100;1999;-0.0063055642447121;999;i
AW;enncari999;p0p100;2000;-0.576463852156239;999;i
AW;enncari999;p0p100;2001;-0.606622140067766;999;i
AW;enncari999;p0p100;2002;-0.636780427979293;999;i
AW;enncari999;p0p100;2003;-0.76693871589082;999;i
AW;enncari999;p0p100;2004;-0.817097003802347;999;i
AW;enncari999;p0p100;2005;-0.917255291713874;999;i
AW;enncari999;p0p100;2006;-0.917413579625401;999;i
AW;enncari999;p0p100;2007;-1.02757186753693;999;i
AW;enncari999;p0p100;2008;-0.857730155448455;999;i
AW;enncari999;p0p100;2009;-0.827888443359982;999;i
AW;enncari999;p0p100;2010;-0.708046731271509;999;i
AW;enncari999;p0p100;2011;-0.698205019183036;999;i
AW;enncari999;p0p100;2012;0.451636692905437;999;i
AW;enncari999;p0p100;2013;0.935478404993911;999;i
AW;enncari999;p0p100;2014;0.925320117082384;999;i
AW;enncari999;p0p100;2015;0.900161829170856;999;i
AW;enncari999;p0p100;2016;0.87400354125933;999;i
AW;enncari999;p0p100;2017;0.902845253347803;999;i
AW;enncari999;p0p100;2018;0.864686965436276;999;i
AW;enncari999;p0p100;2019;0.85208319308457;999;i
AW;enncari999;p0p100;2020;0.809479033430342;999;i
AW;ennghgi999;p0p100;1980;0.437090290556103;999;i
AW;ennghgi999;p0p100;1981;0.516905685159734;999;i
AW;ennghgi999;p0p100;1982;0.326721079763366;999;i
AW;ennghgi999;p0p100;1983;1.184536474367;999;i
AW;ennghgi999;p0p100;1984;-0.173648131029371;999;i
AW;ennghgi999;p0p100;1985;-0.55383273642574;999;i
AW;ennghgi999;p0p100;1986;1.90698265817789;999;i
AW;ennghgi999;p0p100;1987;1.63979805278152;999;i
AW;ennghgi999;p0p100;1988;1.47161344738515;999;i
AW;ennghgi999;p0p100;1989;1.43442884198879;999;i
AW;ennghgi999;p0p100;1990;0.445244236592417;999;i
AW;ennghgi999;p0p100;1991;0.395059631196048;999;i
AW;ennghgi999;p0p100;1992;0.61487502579968;999;i
AW;ennghgi999;p0p100;1993;0.484690420403311;999;i
AW;ennghgi999;p0p100;1994;0.464505815006942;999;i
AW;ennghgi999;p0p100;1995;0.404321209610573;999;i
AW;ennghgi999;p0p100;1996;0.384136604214205;999;i
AW;ennghgi999;p0p100;1997;0.323951998817836;999;i
AW;ennghgi999;p0p100;1998;0.273767393421468;999;i
AW;ennghgi999;p0p100;1999;0.263582788025099;999;i
AW;ennghgi999;p0p100;2000;-0.30660181737127;999;i
AW;ennghgi999;p0p100;2001;-0.336786422767638;999;i
AW;ennghgi999;p0p100;2002;-0.366971028164007;999;i
AW;ennghgi999;p0p100;2003;-0.497155633560376;999;i
AW;ennghgi999;p0p100;2004;-0.547340238956744;999;i
AW;ennghgi999;p0p100;2005;-0.657524844353113;999;i
AW;ennghgi999;p0p100;2006;-0.647709449749482;999;i
AW;ennghgi999;p0p100;2007;-0.75789405514585;999;i
AW;ennghgi999;p0p100;2008;-0.588078660542219;999;i
AW;ennghgi999;p0p100;2009;-0.558263265938588;999;i
AW;ennghgi999;p0p100;2010;-0.438447871334956;999;i
AW;ennghgi999;p0p100;2011;-0.428632476731324;999;i
AW;ennghgi999;p0p100;2012;0.711182917872307;999;i
AW;ennghgi999;p0p100;2013;1.19799831247594;999;i
AW;ennghgi999;p0p100;2014;1.18781370707957;999;i
AW;ennghgi999;p0p100;2015;1.1626291016832;999;i
AW;ennghgi999;p0p100;2016;1.13844449628683;999;i
AW;ennghgi999;p0p100;2017;1.16625989089046;999;i
AW;ennghgi999;p0p100;2018;1.12807528549409;999;i
AW;ennghgi999;p0p100;2019;1.11496652317908;999;i
AW;ennghgi999;p0p100;2020;1.05921819702013;999;i
AW;ennghoi999;p0p100;1990;0.280125209633387;999;i
AW;ennghoi999;p0p100;1991;0.280098892148545;999;i
AW;ennghoi999;p0p100;1992;0.280072574663703;999;i
AW;ennghoi999;p0p100;1993;0.280046257178862;999;i
AW;ennghoi999;p0p100;1994;0.28001993969402;999;i
AW;ennghoi999;p0p100;1995;0.269993622209178;999;i
AW;ennghoi999;p0p100;1996;0.269967304724336;999;i
AW;ennghoi999;p0p100;1997;0.269940987239495;999;i
AW;ennghoi999;p0p100;1998;0.269914669754653;999;i
AW;ennghoi999;p0p100;1999;0.269888352269811;999;i
AW;ennghoi999;p0p100;2000;0.269862034784969;999;i
AW;ennghoi999;p0p100;2001;0.269835717300128;999;i
AW;ennghoi999;p0p100;2002;0.269809399815286;999;i
